Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
54,Other,UK,Self-employed,102241,216261,64,Medium,1292,Monthly,105,6059,26,Real Estate,"Cox, Compton and Rhodes",11,2.2,1.06,774358,68029,54771,29,No,4632,5/8/2025,No,0.15,Divorced,3,High School,Poor,83,Mortgage,176140,4856,0.1,Beginner,Healthcare,No,0.5,No,No,Yes,Defined Contribution,Bucket,ATM,West William,10:32:10,0.24,No,20
51,Male,Germany,Unemployed,86367,485892,61,High,1356,Annually,271,9803,39,ETF,Hayes Group,5.64,1.2,0.93,297593,31804,71260,11,No,2899,11/21/2023,No,0.99,Married,1,PhD,Average,87,Mortgage,174602,4748,0.18,Expert,Travel,Yes,0.45,Yes,No,Yes,Defined Contribution,Bucket,Branch,East Loriland,20:22:06,0.93,No,9
59,Male,UK,Self-employed,129432,168915,68,High,1992,Annually,629,12481,32,Bonds,Simon Inc,9.54,0.98,1.7,727784,30146,24997,11,No,5176,6/9/2024,No,0.56,Single,2,Bachelor's,Average,88,Rent,54189,7729,0.26,Intermediate,Travel,No,0.32,Yes,No,Yes,Defined Benefit,Bucket,Branch,Joshuamouth,23:57:56,0.39,No,6
40,Other,USA,Full-time,36372,480528,65,High,901,Annually,537,19196,18,Mutual Fund,Howell and Sons,7.41,2.8,1.65,590362,20232,48666,23,Yes,8159,6/27/2023,No,0.16,Married,3,PhD,Good,83,Own,29504,8282,0.2,Intermediate,Healthcare,Yes,0.44,Yes,No,Yes,Defined Benefit,Dynamic,Branch,West Melissa,21:56:45,0.71,No,22
33,Other,Australia,Part-time,121710,464656,68,High,1765,Annually,358,22074,22,Real Estate,Rodriguez Group,5.88,3.44,1.4,175359,29777,33526,14,Yes,9821,7/14/2021,No,1,Divorced,1,High School,Average,89,Rent,135125,1551,0.18,Intermediate,Legacy Planning,No,0.43,Yes,No,No,Defined Benefit,Dynamic,Branch,West Evan,21:35:05,0.76,No,23
39,Male,Germany,Part-time,65842,423493,64,High,1435,Annually,885,14476,19,Real Estate,Strickland-Sanders,4.96,3.41,0.52,129158,53651,39420,19,No,5634,7/24/2021,No,0.39,Married,1,Master's,Poor,85,Mortgage,120785,6923,0.17,Intermediate,Healthcare,Yes,0.79,Yes,Yes,Yes,Defined Contribution,Fixed,Online,Shawtown,5:58:06,0.63,No,21
40,Male,Germany,Self-employed,112473,231941,62,Low,1140,Monthly,962,6630,4,ETF,Clark PLC,3.95,1.25,0.21,546622,52918,13857,26,Yes,1597,7/15/2025,No,0.33,Single,4,PhD,Good,79,Mortgage,123501,5315,0.1,Expert,Travel,Yes,0.54,No,Yes,Yes,Defined Benefit,Bucket,Branch,South Rebecca,10:25:27,0.09,No,10
36,Other,UK,Full-time,125972,181547,67,High,541,Monthly,389,18028,35,ETF,"Williams, Young and Gonzales",3.89,4.65,1.27,493945,59288,39213,27,No,2293,9/30/2023,No,0.56,Widowed,4,Master's,Poor,78,Rent,79435,5771,0.06,Intermediate,Travel,Yes,0.39,Yes,Yes,No,Defined Benefit,Bucket,Branch,South Tanya,3:34:09,0.75,No,21
56,Male,Germany,Unemployed,82543,98489,69,High,725,Quarterly,786,10231,16,Bonds,"Berger, Watson and Robinson",10.67,2.54,0.18,169505,36123,73660,26,No,1018,4/21/2022,No,0.7,Single,2,Bachelor's,Good,87,Rent,121845,2251,0.07,Expert,Healthcare,Yes,0.5,Yes,No,No,Defined Benefit,Dynamic,ATM,East Kaylaville,12:37:15,0.58,No,25
37,Other,UK,Self-employed,141502,172453,64,Medium,734,Monthly,299,7559,11,Mutual Fund,Davis and Sons,7.85,1.06,1.45,433383,19053,62645,14,No,4100,1/19/2023,Yes,0.01,Widowed,4,Master's,Poor,77,Mortgage,25138,9314,0.12,Intermediate,Home Purchase,Yes,0.56,No,No,No,Defined Benefit,Fixed,Online,Orozcofurt,19:47:49,0.63,No,14
43,Male,Australia,Self-employed,121072,17031,67,High,386,Quarterly,695,3188,4,Stocks,"Daniels, Burns and Chapman",9.45,1.96,0.19,661518,34327,9019,26,Yes,885,9/28/2023,No,0.76,Married,3,Bachelor's,Poor,77,Own,173841,9033,0.26,Intermediate,Home Purchase,Yes,0.76,No,No,Yes,Defined Contribution,Dynamic,ATM,Curtiston,10:18:25,0.09,No,23
28,Female,Australia,Unemployed,115679,210492,60,Low,1131,Monthly,92,10018,10,ETF,Zamora Group,7.05,1.56,1.99,745872,20757,52009,25,Yes,4814,5/23/2020,No,0.08,Married,0,Master's,Poor,92,Mortgage,183071,2432,0.07,Expert,Healthcare,No,0.18,No,Yes,No,Defined Benefit,Bucket,Online,North Waltermouth,0:42:14,0.61,No,20
35,Male,Canada,Part-time,126394,314781,68,High,1410,Quarterly,268,19528,2,Mutual Fund,Payne LLC,4.32,4.76,0.5,637674,30421,54006,20,Yes,8824,1/12/2020,No,0.92,Widowed,0,PhD,Poor,92,Mortgage,199383,7364,0.14,Beginner,Legacy Planning,No,0.5,No,No,No,Defined Contribution,Bucket,Online,Robinsontown,9:48:00,0.17,No,11
30,Other,UK,Unemployed,77266,199421,60,High,1290,Annually,406,20786,24,Real Estate,"Scott, Martin and Zhang",7.06,2.1,1.79,669272,19073,71468,10,Yes,4353,3/8/2022,No,0.49,Single,0,Master's,Poor,91,Mortgage,128943,6788,0.13,Beginner,Healthcare,Yes,0.12,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,East Alberthaven,0:12:45,0.13,No,17
44,Female,Germany,Unemployed,34655,231593,61,High,732,Quarterly,963,7673,33,Real Estate,Hess and Sons,11.55,4.27,1.52,241409,78683,16564,13,No,1400,11/14/2021,No,0.93,Married,3,PhD,Poor,83,Mortgage,143716,6364,0.13,Beginner,Home Purchase,No,0.95,Yes,No,Yes,Defined Benefit,Bucket,ATM,Port Cameron,3:42:24,0.15,No,19
55,Male,Canada,Part-time,80894,249817,68,High,116,Quarterly,853,7156,24,Stocks,"Stevenson, Nelson and Foster",3.69,1.41,0.11,942870,52695,29787,25,Yes,1944,6/12/2020,No,0.85,Single,3,Bachelor's,Poor,85,Mortgage,126053,1680,0.06,Expert,Legacy Planning,No,0.27,Yes,Yes,Yes,Defined Benefit,Dynamic,Branch,Suzanneport,1:55:35,0.43,No,20
30,Other,UK,Part-time,112746,147258,66,Low,581,Quarterly,379,20809,31,Mutual Fund,Wang Inc,11.41,2.34,0.92,862542,56190,64745,28,No,1854,4/13/2020,Yes,0.82,Married,1,Bachelor's,Good,76,Rent,83583,5302,0.21,Beginner,Healthcare,Yes,0.53,Yes,No,Yes,Defined Benefit,Dynamic,Online,Victoriamouth,22:04:06,0.35,No,25
44,Other,Germany,Full-time,92306,244109,64,Low,1426,Monthly,23,14635,23,Real Estate,"Lee, Henderson and Washington",5.83,1.36,1.05,923672,52360,15693,23,Yes,3001,10/19/2022,No,0.99,Married,3,High School,Average,91,Own,98140,1019,0.26,Expert,Legacy Planning,No,0.36,Yes,Yes,No,Defined Contribution,Dynamic,ATM,Stephenton,1:29:10,0.47,No,20
42,Other,Canada,Unemployed,125574,320606,64,Low,1866,Annually,536,11760,32,Bonds,Robles-Lopez,4.84,4.84,0.59,623159,51338,63551,18,No,8434,11/28/2022,No,0.33,Widowed,3,High School,Average,83,Mortgage,193147,5047,0.24,Beginner,Home Purchase,Yes,0.38,Yes,Yes,Yes,Defined Contribution,Fixed,Online,New Mark,13:36:26,0.23,No,15
41,Female,UK,Self-employed,105444,178240,64,Medium,294,Annually,471,20478,29,Bonds,Campbell-Boyer,10.7,3.59,0.1,722182,24120,32806,12,Yes,4285,3/18/2021,No,0.56,Widowed,3,PhD,Poor,91,Mortgage,142675,7764,0.18,Beginner,Travel,Yes,0.73,No,Yes,Yes,Defined Benefit,Bucket,ATM,Lake Stephanieborough,3:04:57,0.03,No,21
39,Female,UK,Unemployed,104226,357599,63,High,590,Annually,728,3541,4,Stocks,"Gonzalez, Hudson and Clark",5.23,3.57,0.26,956036,45552,21862,23,No,2064,8/25/2021,No,0.18,Single,2,Master's,Good,92,Own,13429,9013,0.3,Beginner,Travel,No,0.16,No,Yes,Yes,Defined Benefit,Fixed,ATM,South Brittany,0:18:46,0.67,No,26
28,Other,UK,Unemployed,45616,419155,69,High,1178,Quarterly,198,15195,16,Bonds,Wilson Ltd,2.35,1.24,1.81,832601,39566,71754,13,No,1081,10/13/2024,No,0.68,Divorced,1,High School,Poor,92,Rent,160442,4276,0.2,Beginner,Legacy Planning,Yes,0.87,No,No,No,Defined Benefit,Bucket,ATM,Williamsland,10:59:44,0.52,No,3
26,Female,Australia,Retired,128639,21828,61,High,1439,Quarterly,982,20919,24,ETF,"Brown, Owens and Garcia",11.36,2.37,1.12,300823,54483,69461,15,Yes,9825,12/25/2021,No,0.7,Single,4,Bachelor's,Poor,90,Own,192624,5533,0.14,Beginner,Home Purchase,No,0.92,Yes,No,Yes,Defined Contribution,Dynamic,Online,Fitzgeraldburgh,19:54:38,0.28,No,29
48,Other,Canada,Retired,39609,416376,63,High,931,Quarterly,251,23345,13,Stocks,Burns-Wilson,2.99,4.75,1.93,72670,50238,45987,23,No,8673,10/18/2021,No,0.79,Married,0,PhD,Poor,86,Own,44095,9169,0.27,Beginner,Home Purchase,No,0.11,No,No,Yes,Defined Contribution,Fixed,ATM,Davidsonhaven,17:25:30,0.37,No,20
33,Male,USA,Self-employed,120510,200486,65,High,1136,Annually,327,6980,4,ETF,"Jenkins, Gomez and Smith",8.86,3.61,0.28,206462,34382,9134,24,No,2161,1/2/2021,No,0.46,Divorced,3,Bachelor's,Good,79,Own,130900,4306,0.2,Expert,Home Purchase,Yes,0.95,Yes,No,Yes,Defined Contribution,Fixed,Branch,Colemanberg,16:12:25,0.38,No,29
31,Female,USA,Full-time,46031,283273,69,Low,1767,Monthly,578,1720,17,Stocks,"Gibson, Smith and Mcdonald",3.89,3.12,0.98,594136,23837,17288,19,Yes,6449,2/23/2024,No,0.87,Divorced,1,Bachelor's,Average,90,Rent,47419,6399,0.05,Beginner,Home Purchase,No,0.27,No,Yes,No,Defined Benefit,Dynamic,Branch,Cookberg,19:45:01,0.51,No,24
62,Other,Canada,Retired,137585,223823,66,Low,792,Monthly,568,5041,13,Stocks,Love Group,11.64,3.12,0.58,158923,44753,61290,27,Yes,3729,4/18/2023,No,0.47,Divorced,4,High School,Poor,79,Own,150530,4505,0.26,Beginner,Legacy Planning,No,0.31,Yes,No,No,Defined Benefit,Bucket,Online,Baileyshire,17:00:06,0.54,No,2
50,Female,Germany,Retired,82315,403337,61,Medium,1910,Quarterly,945,22254,22,Bonds,"Noble, Mcgee and King",5.76,2.55,0.46,577832,70748,58127,22,Yes,8072,6/14/2025,No,0.94,Widowed,2,Master's,Average,78,Mortgage,117455,2740,0.09,Expert,Legacy Planning,No,0.49,Yes,No,Yes,Defined Benefit,Bucket,Branch,South Tommy,12:20:46,0.8,No,21
39,Female,Germany,Self-employed,141984,449119,67,Medium,936,Annually,654,23345,23,Mutual Fund,"Maxwell, Steele and Bryant",3.7,0.62,0.54,482379,49457,53341,11,Yes,8631,4/24/2020,No,0.65,Divorced,2,Bachelor's,Good,76,Own,196625,2855,0.11,Beginner,Healthcare,No,0.95,No,Yes,Yes,Defined Contribution,Bucket,Branch,Lesliemouth,1:30:29,0.87,No,5
43,Male,Germany,Part-time,55347,39152,69,High,1746,Quarterly,312,17149,28,ETF,Garcia-Curry,9.08,4.19,0.66,699892,27303,58024,11,No,2855,10/20/2020,No,0.86,Married,3,High School,Average,75,Own,121331,2721,0.17,Intermediate,Travel,No,0.24,Yes,Yes,No,Defined Contribution,Bucket,Branch,Penaburgh,7:18:51,0.52,No,14
57,Male,Canada,Self-employed,107717,152786,62,Low,1501,Quarterly,453,1570,39,ETF,Yu-Mathews,2.54,4.73,0.3,666812,28881,73463,11,Yes,4286,12/11/2022,No,0.51,Married,2,PhD,Poor,87,Rent,127921,3812,0.19,Intermediate,Healthcare,Yes,0.75,Yes,No,Yes,Defined Contribution,Bucket,Branch,Frankfort,20:46:04,0.96,No,24
51,Female,Germany,Retired,132701,117639,62,Medium,175,Annually,119,8754,8,Real Estate,"Jacobs, Martin and Brown",3.05,0.97,1.21,524967,16235,52024,23,No,1014,6/13/2021,No,0.79,Single,2,Bachelor's,Average,94,Own,121572,5390,0.1,Expert,Home Purchase,Yes,0.22,Yes,No,No,Defined Contribution,Dynamic,ATM,New Krista,19:00:04,0.27,No,3
43,Male,Germany,Self-employed,98464,89352,64,Low,335,Monthly,508,15007,3,Bonds,Howard Group,6.63,4.47,0.56,245692,68042,29229,28,Yes,1082,10/3/2024,No,0.56,Married,1,High School,Good,84,Mortgage,4656,8365,0.24,Intermediate,Healthcare,Yes,0.33,Yes,No,No,Defined Contribution,Dynamic,Online,Martinezside,15:20:17,0.2,No,14
31,Male,UK,Retired,72556,219798,62,Medium,121,Monthly,724,23801,39,Real Estate,Gould LLC,8.12,4.24,1.36,243136,39897,74080,28,Yes,8696,10/14/2024,No,0.48,Married,1,Master's,Poor,81,Rent,64843,8238,0.17,Beginner,Travel,No,0.6,No,No,No,Defined Contribution,Bucket,Branch,Perryborough,22:12:39,0.81,No,29
26,Female,Canada,Part-time,110730,293049,61,Low,1826,Quarterly,770,6856,29,Stocks,"Roach, Barrett and Crawford",10.24,3.51,1.15,437094,63066,30867,18,Yes,7894,4/22/2021,No,0.32,Single,1,High School,Good,80,Own,10176,2659,0.19,Beginner,Healthcare,Yes,0.17,Yes,Yes,No,Defined Benefit,Fixed,ATM,North Johnmouth,3:43:52,0.42,No,17
61,Male,USA,Retired,50566,127358,69,Low,1023,Annually,941,17950,6,Mutual Fund,Townsend-James,7.2,1.13,1.58,832763,39434,39754,16,No,9557,8/19/2023,Yes,0.04,Widowed,3,High School,Average,90,Rent,132231,2569,0.1,Expert,Home Purchase,Yes,0.15,Yes,No,No,Defined Benefit,Fixed,ATM,Hillfort,16:42:45,0.21,No,10
25,Other,USA,Retired,126283,490484,64,Medium,1737,Annually,28,21543,39,ETF,James-Rocha,3.14,3.87,0.36,902585,51708,40438,27,No,5164,8/27/2021,No,0.46,Single,1,Bachelor's,Average,82,Own,160028,2082,0.1,Beginner,Legacy Planning,Yes,0.76,No,No,Yes,Defined Benefit,Dynamic,ATM,North Kristinville,23:32:01,0.1,No,5
49,Male,Germany,Full-time,64143,153789,69,Medium,1065,Monthly,359,7907,12,ETF,"Montgomery, Clark and Garcia",7.32,4.41,0.52,889122,69152,74720,18,Yes,2185,1/12/2021,No,0.24,Married,3,Bachelor's,Average,83,Own,57631,1009,0.27,Intermediate,Home Purchase,No,0.67,No,No,Yes,Defined Benefit,Fixed,Branch,South Jonathanchester,2:21:26,0.97,No,27
48,Other,Australia,Part-time,80904,83159,63,Low,1117,Quarterly,942,19266,11,Real Estate,"Ferrell, Powell and Bryant",9.63,3.45,0.82,111073,78388,18310,23,No,8507,9/5/2020,No,0.9,Divorced,1,PhD,Average,75,Rent,57543,7187,0.29,Expert,Healthcare,No,0.87,Yes,No,No,Defined Contribution,Fixed,Online,New Steven,21:19:56,0.39,No,3
60,Male,Germany,Retired,148242,126321,60,High,1361,Annually,435,8411,34,ETF,Johnson-Snyder,11.14,2.31,1.81,738457,52415,18583,10,Yes,3976,7/8/2020,No,0.39,Widowed,0,Bachelor's,Good,93,Own,131534,1118,0.24,Beginner,Legacy Planning,No,0.45,Yes,Yes,No,Defined Benefit,Fixed,ATM,Hoodmouth,21:39:46,0.12,No,26
35,Other,Australia,Unemployed,148062,238582,63,Low,615,Monthly,991,7196,26,Real Estate,Smith-Clark,2.92,3.37,1.42,783811,76169,36119,12,Yes,8562,9/6/2020,No,0.11,Divorced,3,Bachelor's,Average,93,Own,113258,6420,0.22,Expert,Legacy Planning,No,0.62,No,Yes,Yes,Defined Contribution,Dynamic,ATM,Markland,1:59:01,0.43,No,7
46,Other,UK,Part-time,52738,119444,69,High,1996,Quarterly,106,23175,1,ETF,Martin and Sons,6.71,4.45,0.42,137076,34029,50936,12,No,4075,7/16/2025,No,0.54,Widowed,0,Bachelor's,Average,80,Rent,17920,7169,0.12,Expert,Legacy Planning,Yes,0.27,No,Yes,Yes,Defined Benefit,Fixed,Online,West Williamview,7:36:22,0.01,No,11
38,Male,Australia,Retired,42129,84400,67,Low,1458,Quarterly,332,23826,11,Mutual Fund,Wright-Drake,3.44,4.65,0.84,518411,31525,47804,24,Yes,5016,3/4/2023,No,0.83,Single,4,Master's,Good,75,Mortgage,125990,4016,0.15,Intermediate,Healthcare,No,0.53,Yes,Yes,No,Defined Contribution,Fixed,ATM,Perezfort,12:47:02,0.57,No,8
48,Male,UK,Retired,60693,10216,66,Low,887,Quarterly,940,10472,21,Bonds,"Myers, Daniel and Taylor",3.01,1.26,0.54,925226,14917,58233,15,No,3040,2/6/2022,No,0.82,Widowed,3,PhD,Good,94,Mortgage,35046,1180,0.15,Beginner,Legacy Planning,Yes,0.14,Yes,Yes,Yes,Defined Benefit,Bucket,ATM,Ortizhaven,21:56:17,0.54,No,29
57,Female,Germany,Full-time,91264,279029,61,Low,1684,Annually,825,10154,3,ETF,Miller Ltd,5.19,2.97,0.42,440007,35930,70318,21,No,2764,2/5/2023,No,0.11,Divorced,0,Master's,Average,85,Own,66777,8153,0.06,Intermediate,Healthcare,Yes,0.48,No,Yes,No,Defined Benefit,Fixed,Branch,New Lisa,4:27:38,0.1,No,25
42,Female,Germany,Part-time,144863,291851,62,Medium,188,Annually,684,20936,22,Bonds,"Mendoza, Washington and Hill",11.6,3.01,0.69,483851,34574,62811,25,Yes,5330,10/29/2023,No,0.26,Widowed,2,High School,Average,83,Own,138768,6042,0.09,Beginner,Legacy Planning,Yes,0.59,No,Yes,Yes,Defined Contribution,Fixed,Branch,East Michellechester,5:50:23,0.66,No,12
26,Other,Germany,Full-time,97539,463300,65,Medium,699,Quarterly,708,13260,1,Stocks,Harrell and Sons,3.41,2.51,1.78,231063,22190,40488,21,No,7815,5/28/2024,No,0.91,Widowed,3,High School,Good,89,Own,57431,5750,0.23,Intermediate,Travel,No,0.37,No,Yes,Yes,Defined Benefit,Fixed,Online,Copelandstad,12:22:32,0.56,No,27
43,Other,Australia,Retired,31566,496307,65,Low,1539,Annually,928,9843,37,ETF,Parks-Campbell,11.76,3.47,1.17,787310,58600,26866,22,Yes,2822,10/8/2022,No,0.17,Widowed,2,Master's,Good,80,Rent,160119,7991,0.24,Expert,Legacy Planning,No,0.95,No,Yes,Yes,Defined Benefit,Bucket,Online,North Kimberly,5:32:48,0.39,No,4
50,Other,Australia,Full-time,92198,146707,66,Low,276,Annually,941,12783,19,Bonds,Lawrence-Gibbs,9.11,1.85,0.75,817165,25086,72162,17,No,4092,6/15/2020,No,0.05,Widowed,3,High School,Good,75,Rent,92332,1310,0.24,Expert,Home Purchase,No,0.63,Yes,No,Yes,Defined Benefit,Fixed,ATM,Colemanfurt,9:46:31,0.66,No,24
51,Male,Germany,Unemployed,128377,44454,68,Low,332,Monthly,825,10992,8,ETF,"Reed, Fuentes and Short",11.65,3.54,0.13,930565,17248,13271,12,Yes,5558,12/25/2022,No,0.18,Widowed,1,PhD,Poor,77,Mortgage,74869,1384,0.2,Beginner,Legacy Planning,No,0.12,No,Yes,Yes,Defined Benefit,Fixed,Branch,West David,3:14:46,0.67,No,19
39,Male,UK,Self-employed,89968,334624,64,Low,1924,Annually,306,5015,35,Mutual Fund,Wallace-Pierce,4.31,2.36,0.24,305710,52853,59431,16,No,7141,8/3/2024,Yes,0.4,Widowed,2,Bachelor's,Average,79,Mortgage,178625,4072,0.28,Beginner,Healthcare,No,0.39,No,No,No,Defined Contribution,Dynamic,Branch,West Kirsten,5:08:54,0.63,No,26
